Year	Link	EID
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086338401&doi=10.22516%2f25007440.536&partnerID=40&md5=1847b58f3a252c2a690378b4c9bee892	2-s2.0-85086338401
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085392753&doi=10.1016%2fj.ribaf.2020.101249&partnerID=40&md5=cbfb3d466660d5c3450d60077f70ccb4	2-s2.0-85085392753
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085509165&doi=10.29333%2fejgm%2f8244&partnerID=40&md5=f3852d8c175ce5b976b26e25bc1859e3	2-s2.0-85085509165
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085525629&doi=10.1186%2fs40634-020-00255-5&partnerID=40&md5=62733f14332540b16072ef0a64729cca	2-s2.0-85085525629
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086325614&doi=10.22516%2f25007440.532&partnerID=40&md5=7b2136a046a88b3f607bfeef2c89b8b5	2-s2.0-85086325614
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272328&doi=10.1080%2f22221751.2020.1760146&partnerID=40&md5=ffd3c89c42d4917f99dcaa917e56d97b	2-s2.0-85084272328
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084438050&doi=10.1038%2fs41392-020-0178-y&partnerID=40&md5=9e977458798c80a035e67ba95a6d50d9	2-s2.0-85084438050
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084241090&doi=10.1038%2fs41597-020-0477-8&partnerID=40&md5=74281b0ca0322212e3f6e967ab0eae11	2-s2.0-85084241090
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083682263&doi=10.1186%2fs13089-020-00171-w&partnerID=40&md5=c4b76729c46bb8d1afeba1e72f282460	2-s2.0-85083682263
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086297761&doi=10.1080%2f22221751.2020.1766383&partnerID=40&md5=345895c74b7df62089c13cce23c359fe	2-s2.0-85086297761
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084197208&doi=10.1038%2fs41421-020-0168-9&partnerID=40&md5=adc4686d2f1035d58949d4ac3effc7b2	2-s2.0-85084197208
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583169&doi=10.29333%2fejgm%2f7892&partnerID=40&md5=419f328c47a793519642d00d4dd03d03	2-s2.0-85085583169
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086318690&doi=10.22516%2f25007440.552&partnerID=40&md5=9f036bc862254831e27b8a9384fce8fd	2-s2.0-85086318690
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530684&doi=10.29333%2fejgm%2f7895&partnerID=40&md5=26f942a19d4e094aa19e46d84b143565	2-s2.0-85085530684
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086378647&doi=10.1038%2fs41392-020-0190-2&partnerID=40&md5=f134493eaa709ba7e442cc00d29040b3	2-s2.0-85086378647
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085471844&doi=10.1038%2fs41541-020-0193-6&partnerID=40&md5=71817327ed4cb3ec4d5caf560d4a0973	2-s2.0-85085471844
